1,16590,-9.562442,0.114921,0.021548
2,16640,-9.509769,0.069431,0.064644
3,16690,-9.588778,0.131681,0.067037
4,16740,-9.619903,0.122104,0.026337
5,16790,-9.550471,0.155623,0.009577
6,16840,-9.583990,0.105344,0.069432
7,16890,-9.593567,0.129286,0.028731
8,16940,-9.629480,0.160411,0.035914
9,16990,-9.552865,0.165199,0.019154
10,17040,-9.574413,0.124498,0.004789
11,17090,-9.557654,0.150834,0.052673
12,17140,-9.593567,0.107739,0.023942
13,17190,-9.581596,0.105344,0.004789
14,17240,-9.576807,0.129286,0.062250
15,17290,-9.569625,0.134075,0.004789
16,17340,-9.550471,0.086191,0.064644
17,17390,-9.583990,0.141257,0.057460
18,17440,-9.591172,0.093373,0.059856
19,17490,-9.560048,0.141257,0.004788
20,17540,-9.595961,0.114921,0.031124
21,17590,-9.595961,0.090979,0.052673
22,17640,-9.574413,0.169988,0.004789
23,17690,-9.557654,0.114921,0.040701
24,17740,-9.579201,0.141257,0.050279
25,17790,-9.567230,0.131681,0.011972
26,17840,-9.607932,0.134075,0.083798
27,17890,-9.528923,0.136469,0.014366
28,17940,-9.615114,0.112527,0.011972
29,17990,-9.591172,0.119710,0.055067
30,18040,-9.557654,0.126892,0.035914
31,18090,-9.591172,0.069431,0.057461
32,18140,-9.562442,0.105344,0.031125
33,18190,-9.562442,0.122104,0.002394
34,18240,-9.569625,0.146046,0.014365
35,18290,-9.583990,0.122104,0.040701
36,18340,-9.560048,0.126892,0.009576
37,18390,-9.581596,0.136469,0.021548
38,18440,-9.540894,0.155623,0.016759
39,18490,-9.531317,0.119710,0.050279
40,18540,-9.593567,0.129286,0.007182
41,18590,-9.576807,0.112527,0.057461
42,18640,-9.583990,0.117315,0.014365
43,18690,-9.576807,0.134075,0.016760
44,18740,-9.624691,0.134075,0.000000
45,18790,-9.576807,0.124498,0.035914
46,18840,-9.569625,0.134075,0.047884
47,18890,-9.586384,0.155623,0.043096
48,18940,-9.627085,0.122104,0.031125
49,18990,-9.581596,0.107739,0.059856
50,19040,-9.562442,0.131681,0.014366
51,19090,-9.567230,0.148440,0.028730
52,19140,-9.567230,0.138863,0.000000
53,19190,-9.593567,0.122104,0.069432
54,19240,-9.564836,0.129286,0.045490
55,19290,-9.569625,0.131681,0.035914
56,19340,-9.555259,0.083797,0.019154
57,19390,-9.598355,0.146046,0.040701
58,19440,-9.581596,0.146046,0.043096
59,19490,-9.548077,0.131681,0.000000
60,19540,-9.588778,0.105344,0.016760
61,19590,-9.581596,0.131681,0.059855
62,19640,-9.543288,0.114921,0.064644
63,19690,-9.579201,0.117315,0.011971
64,19740,-9.588778,0.122104,0.074221
65,19790,-9.552865,0.105344,0.043096
66,19840,-9.612720,0.098162,0.009576
67,19890,-9.643845,0.131681,0.014366
68,19940,-9.593567,0.143652,0.009577
69,19990,-9.591172,0.138863,0.083797
70,20040,-9.598355,0.174776,0.043096
71,20090,-9.574413,0.110133,0.019154
72,20140,-9.588778,0.110133,0.028730
73,20190,-9.548077,0.122104,0.016760
74,20240,-9.567230,0.095768,0.076614
75,20290,-9.605538,0.146046,0.021548
76,20340,-9.581596,0.146046,0.009576
77,20390,-9.538500,0.146046,0.033519
78,20440,-9.504981,0.169988,0.045490
79,20490,-9.586384,0.112527,0.004789
80,20540,-9.567230,0.095768,0.031125
81,20590,-9.552865,0.136469,0.064644
82,20640,-9.545683,0.143652,0.019153
83,20690,-9.569625,0.134075,0.050279
84,20740,-9.595961,0.095768,0.038308
85,20790,-9.550471,0.148440,0.055067
86,20840,-9.595961,0.093373,0.040702
87,20890,-9.605538,0.134075,0.050278
88,20940,-9.567230,0.138863,0.055067
89,20990,-9.581596,0.138863,0.007183
90,21040,-9.583990,0.124498,0.035914
91,21090,-9.564836,0.079008,0.038308
92,21140,-9.591172,0.074220,0.043096
93,21190,-9.591172,0.117315,0.043096
94,21240,-9.636662,0.117315,0.021548
95,21290,-9.598355,0.143652,0.009577
96,21340,-9.607932,0.098162,0.007183
97,21390,-9.586384,0.095768,0.023942
98,21440,-9.560048,0.112527,0.064644
99,21490,-9.572019,0.150834,0.045490
100,21540,-9.610326,0.122104,0.019153
101,21590,-9.564836,0.141257,0.014366
102,21640,-9.574413,0.119710,0.069432
103,21690,-9.600749,0.136469,0.038308
104,21740,-9.579201,0.105344,0.038307
105,21790,-9.591172,0.153228,0.035914
106,21840,-9.600749,0.102950,0.009577
107,21890,-9.607932,0.102950,0.038308
108,21940,-9.588778,0.083797,0.076614
109,21990,-9.569625,0.141257,0.007182
110,22040,-9.622297,0.117315,0.016760
111,22090,-9.576807,0.181959,0.002394
112,22140,-9.564836,0.143652,0.059856
113,22190,-9.567230,0.114921,0.023942
114,22240,-9.612720,0.117315,0.016760
115,22290,-9.564836,0.131681,0.028731
116,22340,-9.591172,0.102950,0.000000
117,22390,-9.617509,0.124498,0.059856
118,22440,-9.610326,0.153228,0.052673
119,22490,-9.560048,0.136469,0.011972
120,22540,-9.600749,0.134075,0.038308
121,22590,-9.598355,0.136469,0.031125
122,22640,-9.572019,0.124498,0.016759
123,22690,-9.588778,0.158017,0.088586
124,22740,-9.600749,0.090979,0.016759
125,22790,-9.560048,0.126892,0.033518
126,22840,-9.593567,0.098162,0.009576
127,22890,-9.581596,0.169988,0.004789
128,22940,-9.603143,0.141257,0.004788
129,22990,-9.560048,0.119710,0.023943
130,23040,-9.576807,0.162805,0.014366
131,23090,-9.507375,0.112527,0.014366
132,23140,-9.576807,0.134075,0.114921
133,23190,-9.583990,0.110133,0.035914
134,23240,-9.526529,0.114921,0.040702
135,23290,-9.574413,0.177170,0.014366
136,23340,-9.572019,0.124498,0.026337
137,23390,-9.555259,0.102950,0.062250
138,23440,-9.572019,0.169988,0.028731
139,23490,-9.591172,0.160411,0.021547
140,23540,-9.572019,0.102950,0.076615
141,23590,-9.557654,0.124498,0.093374
142,23640,-9.567230,0.124498,0.007182
143,23690,-9.583990,0.119710,0.021548
144,23740,-9.562442,0.136469,0.009576
145,23790,-9.555259,0.117315,0.016759
146,23840,-9.572019,0.114921,0.000000
147,23890,-9.543288,0.086191,0.040702
148,23940,-9.562442,0.124498,0.026337
149,23990,-9.524135,0.131681,0.028730
150,24040,-9.540894,0.143652,0.038308
151,24090,-9.576807,0.148440,0.031125
152,24140,-9.579201,0.093373,0.000000
153,24190,-9.560048,0.141257,0.019153
154,24240,-9.507375,0.105344,0.062250
155,24290,-9.538500,0.093373,0.023942
156,24340,-9.528923,0.110133,0.026336
157,24390,-9.567230,0.131681,0.043096
158,24440,-9.574413,0.122104,0.007183
159,24490,-9.564836,0.110133,0.095768
160,24540,-9.598355,0.138863,0.040702
161,24590,-9.583990,0.110133,0.043095
162,24640,-9.478645,0.186747,0.057461
163,24690,-9.574413,0.131681,0.059856
164,24740,-9.552865,0.141257,0.002394
165,24790,-9.500193,0.112527,0.057461
166,24840,-9.557654,0.112527,0.040702
167,24890,-9.536106,0.158017,0.059856
168,24940,-9.569625,0.119710,0.050279
169,24990,-9.579201,0.126892,0.114922
170,25040,-9.581596,0.110133,0.033519
